Date,Open,High,Low,Close,Adj Close,Volume
2019-07-03,54.0,55.060001,53.84,54.830002,51.296379,2948700
2019-07-05,54.849998,54.990002,54.23,54.610001,51.090561,2514000
2019-07-08,54.599998,55.16,54.389999,54.959999,51.417999,4378600
2019-07-09,54.68,55.529999,54.560001,55.52,51.941914,3617100
2019-07-10,55.540001,56.0,55.5,55.73,52.138382,3898300
2019-07-11,55.830002,56.150002,55.27,55.48,51.904491,3389300
2019-07-12,55.849998,56.349998,55.509998,56.27,52.643581,2957700
2019-07-15,56.349998,56.490002,56.110001,56.240002,52.615509,2900700
2019-07-16,56.41,56.48,56.02,56.029999,52.419048,2250600
2019-07-17,56.0,56.099998,54.880001,55.369999,51.801582,3679400
2019-07-18,55.450001,55.779999,55.34,55.599998,52.016758,4175600
2019-07-19,56.07,56.68,55.810001,55.939999,52.334843,4852800
2019-07-22,55.77,56.130001,55.639999,55.880001,52.278713,2069600
2019-07-23,55.869999,56.290001,55.509998,56.290001,52.662289,2160300
2019-07-24,56.009998,57.490002,56.0,57.389999,53.691399,3909800
2019-07-25,57.580002,57.59,56.939999,57.080002,53.401379,2459300
2019-07-26,56.990002,57.330002,56.799999,57.27,53.579136,2899300
2019-07-29,57.080002,57.220001,56.349998,56.48,52.840042,2565100
2019-07-30,56.099998,56.459999,55.700001,56.32,52.690357,1828900
2019-07-31,56.419998,56.939999,55.529999,55.990002,52.381622,3179200
2019-08-01,55.73,56.400002,54.23,54.709999,51.184116,4706600
2019-08-02,54.549999,54.860001,54.0,54.330002,50.828609,2683600
2019-08-05,53.459999,53.740002,52.290001,52.810001,49.406567,4323200
2019-08-06,52.84,54.41,52.700001,54.380001,50.875381,4247700
2019-08-07,53.310001,54.630001,52.889999,54.41,50.90345,4302000
2019-08-08,56.919998,57.48,55.68,56.82,53.158134,8893700
2019-08-09,56.5,56.75,55.849998,56.259998,52.63422,3987100
2019-08-12,55.84,55.900002,54.599998,55.080002,51.530273,3576200
2019-08-13,54.830002,56.5,54.66,56.119999,52.503242,4522200
2019-08-14,55.09,55.400002,52.939999,53.389999,49.949188,8548900
2019-08-15,53.52,53.990002,53.27,53.740002,50.27663,4125000
2019-08-16,54.27,54.73,53.869999,54.310001,50.809895,4042200
2019-08-19,55.029999,55.200001,54.529999,54.810001,51.277672,3319400
2019-08-20,54.669998,54.669998,53.369999,53.43,49.986603,3551200
2019-08-21,53.950001,53.950001,53.310001,53.689999,50.229847,2464800
2019-08-22,53.98,54.32,53.59,53.75,50.28598,2326600
2019-08-23,53.509998,54.330002,52.150002,52.490002,49.107189,3712200
2019-08-26,52.709999,53.110001,52.419998,53.080002,49.659164,2212600
2019-08-27,53.27,53.470001,52.200001,52.740002,49.341084,2747800
2019-08-28,52.529999,52.959999,52.299999,52.450001,49.069767,2481500
2019-08-29,52.98,53.18,52.400002,52.459999,49.079121,2921100
2019-08-30,52.880001,52.880001,51.799999,52.040001,48.686188,4565000
2019-09-03,51.75,52.490002,51.650002,52.400002,49.022991,2897700
2019-09-04,52.959999,54.419998,52.709999,54.400002,50.894093,3846900
2019-09-05,55.150002,55.860001,54.619999,54.68,51.156048,3124000
2019-09-06,54.610001,55.380001,54.529999,54.849998,51.31509,1901200
2019-09-09,55.080002,55.470001,54.700001,55.41,51.839001,2898500
2019-09-10,55.439999,55.98,55.240002,55.5,51.923206,3170500
2019-09-11,55.48,56.630001,54.77,56.599998,52.952312,3093900
2019-09-12,56.139999,57.110001,56.029999,56.759998,53.101994,3263600
2019-09-13,57.080002,57.459999,56.790001,57.290001,53.597843,3324700
2019-09-16,56.220001,56.68,55.93,56.32,52.986317,2793600
2019-09-17,56.18,57.150002,56.099998,57.080002,53.701332,4317400
2019-09-18,56.669998,57.669998,56.439999,57.650002,54.237595,4292100
2019-09-19,57.799999,58.66,57.57,57.889999,54.463387,4671800
2019-09-20,58.220001,58.349998,57.290001,57.450001,54.049431,6534700
2019-09-23,57.099998,57.73,56.959999,57.299999,53.908306,2752500
2019-09-24,57.529999,57.700001,56.82,57.0,53.626064,3592400
2019-09-25,56.880001,57.23,56.43,56.529999,53.183887,3355300
2019-09-26,56.599998,56.599998,55.540001,55.880001,52.572361,3206200
2019-09-27,56.220001,56.529999,55.849998,56.16,52.835789,3496300
2019-09-30,56.299999,56.360001,55.549999,55.700001,52.403015,3424500
