Date,Open,High,Low,Close,Adj Close,Volume
2019-07-03,73.089996,74.050003,73.0,74.0,70.617981,2291600
2019-07-05,73.489998,73.660004,72.339996,73.139999,69.797287,3771900
2019-07-08,73.129997,73.550003,73.0,73.379997,70.026306,2989300
2019-07-09,72.690002,73.290001,72.690002,73.110001,69.768654,3885600
2019-07-10,73.419998,74.080002,73.400002,73.489998,70.131294,2392300
2019-07-11,73.779999,73.910004,73.18,73.889999,70.513016,2878200
2019-07-12,73.989998,74.43,73.559998,74.379997,70.980606,2937500
2019-07-15,74.419998,75.519997,73.870003,74.0,70.617981,2487700
2019-07-16,74.209999,74.639999,73.959999,74.5,71.095123,3485400
2019-07-17,73.949997,74.139999,73.639999,73.75,70.787987,2775100
2019-07-18,73.739998,73.949997,73.410004,73.879997,70.912766,2412700
2019-07-19,73.769997,73.879997,72.690002,72.699997,69.780151,2417400
2019-07-22,72.839996,72.980003,72.099998,72.349998,69.444199,2945000
2019-07-23,72.879997,73.150002,72.099998,72.279999,69.377022,3986700
2019-07-24,71.839996,72.32,71.220001,71.279999,68.417191,3246900
2019-07-25,71.129997,72.220001,71.129997,71.93,69.041077,4383400
2019-07-26,71.919998,73.779999,71.790001,73.690002,70.730392,4036200
2019-07-29,73.849998,75.669998,73.720001,75.57,72.534889,4635900
2019-07-30,75.510002,76.410004,74.419998,74.739998,71.738228,5020600
2019-07-31,74.589996,74.93,71.349998,71.739998,68.858704,5187400
2019-08-01,71.629997,72.470001,71.209999,71.260002,68.397987,4618400
2019-08-02,71.300003,71.769997,70.830002,71.199997,68.340393,3813500
2019-08-05,70.989998,71.230003,68.410004,68.800003,66.036789,5215500
2019-08-06,69.080002,70.169998,68.839996,69.849998,67.044617,4868600
2019-08-07,69.440002,70.769997,68.470001,70.440002,67.610916,4222100
2019-08-08,70.669998,71.769997,70.099998,71.709999,68.829918,2712900
2019-08-09,71.800003,72.089996,70.959999,71.519997,68.647545,2993200
2019-08-12,71.400002,71.400002,70.260002,70.730003,67.889275,2457900
2019-08-13,70.870003,71.949997,70.660004,71.690002,68.810707,2513600
2019-08-14,71.010002,71.739998,70.5,70.519997,67.687706,3990000
2019-08-15,70.870003,71.68,70.610001,71.370003,68.503578,3698800
2019-08-16,71.690002,72.5,71.620003,72.279999,69.377022,2549000
2019-08-19,73.010002,73.260002,72.639999,73.080002,70.14489,2139500
2019-08-20,72.959999,73.279999,72.43,72.540001,69.626587,2463700
2019-08-21,73.0,73.169998,72.459999,72.610001,69.693764,2527100
2019-08-22,72.660004,73.290001,72.370003,73.040001,70.106483,1526600
2019-08-23,73.110001,73.879997,71.809998,72.230003,69.329041,3910900
2019-08-26,72.660004,72.940002,72.209999,72.769997,69.847343,1770300
2019-08-27,73.279999,73.730003,73.029999,73.440002,70.490433,2582100
2019-08-28,73.5,74.07,73.32,74.0,71.027939,2050600
2019-08-29,74.470001,74.550003,73.379997,74.199997,71.21991,1819700
2019-08-30,74.470001,74.510002,73.910004,74.150002,71.171921,2899700
2019-09-03,73.669998,74.550003,73.459999,74.309998,71.325493,1963800
2019-09-04,74.830002,75.0,74.459999,74.870003,71.862999,2422900
2019-09-05,75.0,75.0,74.089996,74.290001,71.306297,3430900
2019-09-06,74.410004,74.709999,74.230003,74.699997,71.699821,2333300
2019-09-09,74.599998,74.599998,72.860001,73.190002,70.250473,5153000
2019-09-10,72.510002,72.519997,71.18,72.120003,69.22345,4712900
2019-09-11,71.949997,72.860001,71.400002,72.849998,69.924133,2305700
2019-09-12,73.370003,73.860001,72.239998,72.290001,69.386627,2644200
2019-09-13,71.599998,71.720001,70.389999,70.709999,67.870064,4679600
2019-09-16,70.099998,70.389999,68.970001,69.43,66.641479,4116900
2019-09-17,69.57,70.699997,69.529999,69.860001,67.054222,3381800
