Date,Open,High,Low,Close,Adj Close,Volume
2019-07-03,10.18,10.3,10.13,10.2,9.722382,19326600
2019-07-05,10.18,10.27,10.09,10.2,9.722382,21397900
2019-07-08,10.2,10.26,10.18,10.2,9.722382,23244100
2019-07-09,10.17,10.19,10.1,10.14,9.665193,25140600
2019-07-10,10.19,10.26,10.11,10.11,9.636596,29082200
2019-07-11,10.15,10.2,10.11,10.19,9.712851,27667500
2019-07-12,10.24,10.5,10.24,10.49,9.998802,40761600
2019-07-15,10.49,10.56,10.34,10.42,9.93208,33753500
2019-07-16,10.37,10.51,10.29,10.51,10.017866,29530500
2019-07-17,10.48,10.5,10.31,10.33,9.846294,25204400
2019-07-18,10.3,10.31,10.18,10.26,9.779572,25810600
2019-07-19,10.3,10.32,10.2,10.2,9.722382,38505600
2019-07-22,10.13,10.17,10.0,10.02,9.69336,36238600
2019-07-23,10.13,10.22,10.06,10.17,9.83847,74624800
2019-07-24,10.18,10.35,10.14,10.33,9.993254,61107500
2019-07-25,9.75,9.78,9.4,9.56,9.248356,133898600
2019-07-26,9.58,9.65,9.51,9.57,9.25803,47710200
2019-07-29,9.6,9.68,9.52,9.6,9.287052,36487800
2019-07-30,9.56,9.58,9.48,9.55,9.238682,36944700
2019-07-31,9.57,9.58,9.4,9.53,9.219334,56715500
2019-08-01,9.53,9.59,9.28,9.31,9.006506,58060800
2019-08-02,9.26,9.34,9.21,9.28,8.977483,41495200
2019-08-05,9.18,9.27,9.06,9.23,8.929112,47963400
2019-08-06,9.42,9.51,9.36,9.48,9.170962,51856100
2019-08-07,9.43,9.56,9.32,9.53,9.219334,43042400
2019-08-08,9.56,9.62,9.51,9.56,9.248356,25469000
2019-08-09,9.54,9.58,9.39,9.45,9.141941,38739700
2019-08-12,9.39,9.43,9.28,9.29,8.987157,23050400
2019-08-13,9.29,9.42,9.18,9.26,8.958136,28231500
2019-08-14,9.13,9.15,8.96,9.0,8.706611,45967400
2019-08-15,9.06,9.06,8.78,8.86,8.571175,40682800
2019-08-16,8.92,9.0,8.81,8.96,8.667914,27369900
2019-08-19,9.05,9.1,9.02,9.03,8.735632,21844000
2019-08-20,9.0,9.07,8.93,8.96,8.667914,25108600
2019-08-21,9.02,9.05,8.97,9.04,8.745307,20434800
2019-08-22,9.05,9.14,9.02,9.04,8.745307,20974700
2019-08-23,8.9,8.99,8.73,8.77,8.484109,44982300
2019-08-26,8.88,8.91,8.79,8.82,8.532478,31888200
2019-08-27,8.89,8.91,8.75,8.76,8.474435,23024400
2019-08-28,8.72,9.04,8.7,9.0,8.706611,35147300
2019-08-29,9.1,9.14,9.03,9.12,8.8227,22011000
2019-08-30,9.16,9.23,9.1,9.17,8.871069,32057900
2019-09-03,9.18,9.2,9.04,9.1,8.803351,26331000
2019-09-04,9.17,9.23,9.07,9.2,8.900091,27406400
2019-09-05,9.25,9.4,9.25,9.34,9.035527,36626800
2019-09-06,9.37,9.41,9.2,9.34,9.035527,29210100
2019-09-09,9.39,9.65,9.39,9.54,9.229008,48059400
2019-09-10,9.08,9.42,9.04,9.42,9.112919,70567300
2019-09-11,9.29,9.43,9.29,9.42,9.112919,34190300
2019-09-12,9.36,9.48,9.32,9.41,9.103246,35687700
2019-09-13,9.47,9.59,9.44,9.45,9.141941,27161300
2019-09-16,9.36,9.45,9.24,9.3,8.996831,50052600
2019-09-17,9.27,9.31,9.18,9.28,8.977483,27391200
2019-09-18,9.26,9.36,9.22,9.25,8.948462,24309400
2019-09-19,9.31,9.33,9.1,9.1,8.803351,28780700
2019-09-20,9.13,9.3,9.11,9.17,8.871069,37491300
2019-09-23,9.13,9.23,9.08,9.16,8.861395,22051100
2019-09-24,9.19,9.23,9.05,9.11,8.813025,33092500
2019-09-25,9.1,9.23,9.09,9.2,8.900091,20510300
2019-09-26,9.23,9.23,9.07,9.14,8.842048,26556300
2019-09-27,9.14,9.6,9.06,9.08,8.784003,32459500
2019-09-30,9.11,9.21,9.1,9.16,8.861395,21510000
2019-10-01,9.19,9.24,8.87,8.9,8.60987,39559500
2019-10-02,8.85,8.86,8.44,8.61,8.329324,68137000
2019-10-03,8.55,8.71,8.45,8.71,8.426064,40827900
2019-10-04,8.72,8.76,8.66,8.74,8.455086,27827400
2019-10-07,8.7,8.79,8.61,8.68,8.397042,29340400
2019-10-08,8.65,8.66,8.5,8.54,8.261606,31091200
2019-10-09,8.61,8.64,8.56,8.56,8.280955,16898500
2019-10-10,8.58,8.65,8.52,8.62,8.338999,28069600
2019-10-11,8.73,8.87,8.73,8.78,8.493782,34175700
2019-10-14,8.82,8.84,8.76,8.82,8.532478,24794500
2019-10-15,8.84,9.1,8.78,9.07,8.774328,29771700
2019-10-16,9.11,9.19,9.06,9.07,8.774328,27190300
2019-10-17,9.12,9.14,9.03,9.11,8.813025,28361200
2019-10-18,9.09,9.32,9.09,9.29,8.987157,42422900
2019-10-21,9.19,9.24,9.01,9.03,8.878997,33610200
2019-10-22,9.01,9.14,8.96,9.07,8.918327,35878500
2019-10-23,9.01,9.21,8.97,9.21,9.055987,44770400
2019-10-24,8.87,8.89,8.55,8.6,8.456188,120395200
2019-10-25,8.67,8.75,8.62,8.72,8.574182,51373600
2019-10-28,8.76,8.76,8.58,8.61,8.46602,39635300
2019-10-29,8.59,8.71,8.59,8.64,8.495519,36771800
2019-10-30,8.64,8.64,8.52,8.54,8.397191,28685300
2019-10-31,8.58,8.6,8.5,8.59,8.446355,29124100
2019-11-01,8.64,8.93,8.64,8.89,8.741339,55354900
2019-11-04,8.93,9.05,8.93,9.0,8.849499,46716500
2019-11-05,9.02,9.15,9.0,9.02,8.869164,37569700
2019-11-06,9.05,9.05,8.89,8.92,8.770837,39497700
2019-11-07,8.96,9.01,8.88,8.89,8.741339,32640400
2019-11-08,8.9,9.04,8.82,9.04,8.888829,29476800
2019-11-11,8.95,9.1,8.94,9.08,8.928161,24846600
2019-11-12,9.06,9.13,9.04,9.04,8.888829,28703900
2019-11-13,9.0,9.0,8.8,8.81,8.662676,34491200
2019-11-14,8.85,8.91,8.78,8.79,8.64301,26527800
2019-11-15,8.85,8.96,8.85,8.95,8.800335,26416300
2019-11-18,9.05,9.05,8.89,8.95,8.800335,38291400
2019-11-19,8.99,9.0,8.87,8.9,8.75117,31168900
2019-11-20,8.88,8.89,8.68,8.73,8.584013,38271500
2019-11-21,8.77,8.79,8.67,8.71,8.564348,33161400
2019-11-22,8.8,8.9,8.77,8.89,8.741339,34966700
2019-11-25,8.9,9.01,8.87,9.0,8.849499,30580900
2019-11-26,8.98,9.02,8.91,9.01,8.859331,30093800
2019-11-27,9.03,9.15,9.02,9.1,8.947826,37396100
2019-11-29,9.04,9.1,9.03,9.06,8.908496,13096200
2019-12-02,9.08,9.14,9.0,9.01,8.859331,37232700
2019-12-03,8.95,8.95,8.8,8.89,8.741339,40653100
2019-12-04,8.95,9.03,8.94,8.95,8.800335,29982900
2019-12-05,8.97,9.0,8.88,8.93,8.780669,25768600
2019-12-06,8.96,9.07,8.95,9.02,8.869164,31086900
2019-12-09,8.97,9.07,8.96,9.01,8.859331,21772900
2019-12-10,9.02,9.1,8.96,9.07,8.918327,34217700
2019-12-11,9.06,9.14,9.06,9.11,8.957659,33204200
2019-12-12,9.11,9.36,9.11,9.32,9.164147,48390900
2019-12-13,9.32,9.39,9.19,9.23,9.075652,35334500
2019-12-16,9.24,9.39,9.22,9.39,9.232977,42337600
2019-12-17,9.38,9.41,9.31,9.39,9.232977,35503900
2019-12-18,9.39,9.57,9.36,9.54,9.380468,45905300
2019-12-19,9.55,9.57,9.38,9.41,9.252643,42236000
2019-12-20,9.5,9.54,9.44,9.48,9.321471,50191200
2019-12-23,9.5,9.57,9.4,9.44,9.282141,54784400
2019-12-24,9.44,9.49,9.43,9.47,9.31164,11881600
2019-12-26,9.47,9.49,9.43,9.45,9.291973,28961300
2019-12-27,9.45,9.46,9.35,9.36,9.203478,28272800
2019-12-30,9.34,9.35,9.23,9.25,9.095318,36074900
2019-12-31,9.25,9.33,9.25,9.3,9.144482,32342100
2020-01-02,9.29,9.42,9.19,9.42,9.262475,43425700
