Date,Open,High,Low,Close,Adj Close,Volume
2019-07-03,11.38,11.41,11.23,11.31,11.130046,9252700
2019-07-05,11.08,11.33,10.92,11.29,11.110363,11436900
2019-07-08,11.23,11.45,11.18,11.22,11.041478,15674300
2019-07-09,11.01,11.03,10.6,10.87,10.697047,24168600
2019-07-10,11.05,11.17,10.83,10.95,10.775774,16509400
2019-07-11,11.08,11.15,10.91,11.1,10.923388,19004900
2019-07-12,11.07,11.18,11.01,11.02,10.893731,11815000
2019-07-15,11.16,11.23,11.01,11.14,11.012356,14485100
2019-07-16,11.21,11.4,11.1,11.12,10.992584,19193700
2019-07-17,11.09,11.16,10.92,11.06,10.933273,18415100
2019-07-18,10.97,11.18,10.95,11.15,11.022241,12662000
2019-07-19,11.43,11.7,11.32,11.49,11.358345,30374500
2019-07-22,11.56,11.61,11.38,11.49,11.358345,13686100
2019-07-23,11.54,11.73,11.52,11.65,11.516512,13936300
2019-07-24,11.54,12.07,11.53,11.94,11.803189,20942100
2019-07-25,12.05,12.05,11.26,11.42,11.289147,25283600
2019-07-26,11.42,11.59,11.26,11.56,11.427544,14341700
2019-07-29,11.55,11.67,11.45,11.61,11.47697,14526400
2019-07-30,11.47,11.54,11.38,11.47,11.338574,15139900
2019-07-31,11.4,11.47,10.85,11.06,10.933273,18292800
2019-08-01,10.89,11.07,10.55,10.7,10.577397,23839600
2019-08-02,10.55,10.66,10.12,10.3,10.18198,25816700
2019-08-05,10.05,10.2,9.83,10.07,9.954616,25537600
2019-08-06,10.1,10.18,9.9,10.14,10.023814,17080700
2019-08-07,9.97,10.15,9.89,10.08,9.964501,21874400
2019-08-08,10.22,10.36,10.07,10.12,10.004043,24263300
2019-08-09,10.04,10.06,9.71,9.75,9.638283,20112800
2019-08-12,9.67,9.72,9.45,9.52,9.410918,13866400
2019-08-13,9.52,10.01,9.41,9.89,9.776678,29866400
2019-08-14,9.54,9.61,9.35,9.36,9.252751,27274500
2019-08-15,9.38,9.39,8.78,8.99,8.886991,26881200
2019-08-16,9.09,9.24,8.98,9.1,8.99573,18373200
2019-08-19,9.31,9.42,9.23,9.25,9.144011,16936200
2019-08-20,9.18,9.21,9.01,9.19,9.084698,13179000
2019-08-21,9.27,9.32,9.14,9.14,9.035273,17332900
2019-08-22,9.22,9.29,9.09,9.13,9.025387,13827300
2019-08-23,9.04,9.18,8.8,8.83,8.728825,22529000
2019-08-26,8.86,8.93,8.76,8.84,8.738709,19840600
2019-08-27,8.92,9.02,8.68,8.71,8.610199,15942200
2019-08-28,8.74,8.99,8.58,8.95,8.847449,15456200
2019-08-29,9.15,9.26,9.06,9.12,9.015501,14882600
2019-08-30,9.22,9.27,9.09,9.19,9.084698,12318300
2019-09-03,9.0,9.16,8.88,9.07,8.966073,18071900
2019-09-04,9.31,9.41,9.23,9.29,9.183553,12091700
2019-09-05,9.48,9.77,9.47,9.53,9.420803,24776100
2019-09-06,9.54,9.54,9.4,9.42,9.312063,18782500
2019-09-09,9.47,9.75,9.44,9.7,9.588855,19778200
2019-09-10,9.7,10.18,9.7,10.12,10.004043,30521000
2019-09-11,10.13,10.22,9.76,10.08,9.964501,20235100
2019-09-12,10.29,10.52,10.03,10.37,10.251178,27660800
2019-09-13,10.65,10.97,10.62,10.76,10.636711,27450100
2019-09-16,10.61,10.69,10.43,10.47,10.350032,21058100
2019-09-17,10.3,10.53,10.21,10.41,10.29072,22280300
2019-09-18,10.33,10.46,10.09,10.36,10.241293,26245500
2019-09-19,10.32,10.65,10.31,10.45,10.330261,19849600
2019-09-20,10.5,10.73,10.42,10.47,10.350032,23390300
2019-09-23,10.2,10.54,10.2,10.33,10.211637,18743100
2019-09-24,10.31,10.32,9.93,10.01,9.895304,20225500
2019-09-25,9.93,10.18,9.81,10.07,9.954616,23425800
2019-09-26,10.01,10.05,9.79,9.8,9.68771,19347000
2019-09-27,9.83,9.9,9.61,9.65,9.539429,22210100
2019-09-30,9.62,9.68,9.56,9.57,9.460344,11988000
2019-10-01,9.55,9.6,9.13,9.17,9.064928,26848600
2019-10-02,9.04,9.12,8.85,8.87,8.768366,25488900
2019-10-03,8.82,8.91,8.6,8.86,8.75848,28429400
2019-10-04,8.88,8.97,8.72,8.83,8.728825,21138400
2019-10-07,8.79,9.05,8.73,8.76,8.659626,21117800
2019-10-08,8.67,8.7,8.48,8.51,8.412491,29695600
2019-10-09,8.6,8.67,8.43,8.55,8.452033,20374500
2019-10-10,8.78,9.14,8.63,8.96,8.857335,61232700
2019-10-11,9.14,9.66,9.13,9.55,9.493552,45962300
2019-10-14,9.2,9.57,9.14,9.5,9.443848,24309100
2019-10-15,9.42,9.62,9.32,9.52,9.46373,19444600
2019-10-16,9.48,9.64,9.42,9.5,9.443848,17311500
2019-10-17,9.59,9.73,9.4,9.44,9.384201,14449500
2019-10-18,9.47,9.77,9.47,9.58,9.523375,17182200
2019-10-21,9.8,10.0,9.75,9.82,9.761956,23376900
2019-10-22,9.79,10.01,9.7,9.93,9.871305,23467400
2019-10-23,9.97,10.38,9.59,10.13,10.070124,36496000
2019-10-24,10.11,10.23,9.51,9.59,9.533316,32498200
2019-10-25,9.61,10.35,9.61,10.14,10.080064,35421900
2019-10-28,10.25,10.33,10.19,10.24,10.179473,17882100
2019-10-29,10.13,10.27,10.1,10.23,10.169532,14533700
2019-10-30,10.09,10.19,9.94,10.13,10.070124,19786300
2019-10-31,10.03,10.15,9.64,9.82,9.761956,23321500
2019-11-01,9.96,10.61,9.92,10.52,10.457819,31504600
2019-11-04,10.76,10.99,10.62,10.8,10.736163,28404600
2019-11-05,11.05,11.3,10.89,10.91,10.845513,34170400
2019-11-06,10.95,10.95,10.51,10.64,10.577109,21392100
2019-11-07,10.94,11.57,10.91,11.27,11.203385,38830300
2019-11-08,11.15,11.52,11.03,11.52,11.451908,24304900
2019-11-11,11.16,11.27,10.96,11.09,11.024449,19063400
2019-11-12,11.09,11.23,10.93,11.04,10.974745,15505200
2019-11-13,11.07,11.24,10.78,10.84,10.775927,22247000
2019-11-14,10.85,10.94,10.68,10.81,10.746104,14364000
2019-11-15,10.96,11.24,10.87,11.16,11.094035,20827500
2019-11-18,11.09,11.12,10.93,11.01,10.944921,15201100
2019-11-19,11.2,11.29,11.0,11.28,11.213326,20572000
2019-11-20,11.11,11.34,10.93,11.03,10.964804,24073800
2019-11-21,10.93,11.04,10.85,11.01,10.944921,17158200
2019-11-22,11.13,11.48,11.13,11.35,11.282913,22244000
2019-11-25,11.47,11.86,11.37,11.66,11.59108,28558500
2019-11-26,11.62,11.82,11.56,11.71,11.640784,28062500
