Date,Open,High,Low,Close,Adj Close,Volume
2019-07-03,182.779999,182.889999,180.949997,182.649994,172.932205,533600
2019-07-05,181.800003,182.479996,180.270004,182.279999,172.581924,481800
2019-07-08,181.220001,182.929993,180.580002,181.470001,171.815002,822900
2019-07-09,180.139999,180.979996,179.119995,180.830002,171.209045,1378800
2019-07-10,182.350006,183.860001,181.570007,182.539993,172.828064,886700
2019-07-11,182.529999,183.630005,182.369995,183.600006,173.83168,707900
2019-07-12,184.559998,185.949997,183.699997,185.839996,175.952499,827500
2019-07-15,185.839996,186.839996,185.449997,186.399994,176.482697,1215300
2019-07-16,186.910004,187.479996,186.559998,186.889999,176.946625,1078200
2019-07-17,185.729996,186.050003,183.429993,183.550003,173.784332,2259800
2019-07-18,183.550003,183.550003,180.589996,183.179993,173.434006,1223700
2019-07-19,184.110001,184.869995,183.649994,183.850006,174.068405,939900
2019-07-22,183.830002,185.009995,183.119995,184.619995,174.797409,702600
2019-07-23,185.910004,186.0,183.630005,185.970001,176.075562,1150600
2019-07-24,185.979996,189.559998,185.050003,187.639999,177.656723,1368200
2019-07-25,187.389999,189.0,185.5,187.610001,177.628311,1106300
2019-07-26,187.279999,189.899994,186.440002,189.729996,179.635529,1745200
2019-07-29,189.720001,190.160004,188.75,189.830002,179.730209,924100
2019-07-30,189.130005,189.460007,187.460007,189.119995,179.057983,939500
2019-07-31,189.029999,189.660004,184.800003,185.940002,176.04718,1187400
2019-08-01,185.589996,186.740005,182.460007,183.429993,173.6707,1273200
2019-08-02,183.339996,183.580002,181.139999,181.970001,172.288406,941700
2019-08-05,179.970001,179.990005,175.029999,176.770004,167.365067,1197700
2019-08-06,178.350006,180.729996,176.770004,180.669998,171.057571,886400
2019-08-07,178.360001,181.520004,177.509995,180.850006,171.227997,1003300
2019-08-08,182.660004,185.100006,182.070007,184.169998,174.371353,778600
2019-08-09,183.320007,185.130005,182.75,184.100006,174.305069,719600
2019-08-12,183.190002,183.399994,180.619995,181.350006,171.701401,573200
