Date,Open,High,Low,Close,Adj Close,Volume
2019-07-03,10.66,10.66,10.54,10.61,10.51971,22175600
2019-07-05,10.54,10.55,10.37,10.5,10.410646,30267700
2019-07-08,10.42,10.43,10.14,10.2,10.113198,48143100
2019-07-09,10.12,10.29,10.04,10.25,10.162772,35455800
2019-07-10,10.29,10.43,10.18,10.2,10.113198,39101700
2019-07-11,10.22,10.31,10.1,10.11,10.023964,33670100
2019-07-12,10.18,10.39,10.14,10.37,10.281754,39195500
2019-07-15,10.25,10.34,10.2,10.27,10.182603,42095100
2019-07-16,10.23,10.4,10.21,10.38,10.291666,39533200
2019-07-17,10.37,10.37,9.98,9.98,9.895071,53683000
2019-07-18,10.01,10.19,9.96,10.06,9.97439,45155200
2019-07-19,10.08,10.19,10.03,10.04,9.954561,34653900
2019-07-22,10.05,10.23,10.05,10.21,10.123113,43326900
2019-07-23,10.28,10.68,10.27,10.65,10.55937,74298300
2019-07-24,10.58,10.7,10.54,10.68,10.589114,44897500
2019-07-25,10.63,10.67,10.36,10.43,10.341242,46121000
2019-07-26,10.47,10.55,10.4,10.51,10.42056,27015800
2019-07-29,10.5,10.58,10.38,10.38,10.291666,37369400
2019-07-30,10.39,10.58,10.28,10.52,10.430476,45314500
2019-07-31,10.76,10.79,10.05,10.45,10.361071,172474100
2019-08-01,10.37,10.49,9.98,10.08,9.99422,87921700
2019-08-02,10.01,10.08,9.82,10.0,9.914901,64296400
2019-08-05,9.79,9.81,9.61,9.66,9.577794,70243200
2019-08-06,9.71,9.75,9.48,9.57,9.48856,66397800
2019-08-07,9.44,9.47,9.23,9.46,9.379496,76790400
2019-08-08,9.51,9.53,9.32,9.49,9.409241,49406600
2019-08-09,9.47,9.48,9.12,9.15,9.072134,76720800
2019-08-12,9.04,9.09,8.95,9.05,8.972985,65574900
2019-08-13,9.23,9.59,9.21,9.35,9.270432,74026400
2019-08-14,9.24,9.3,8.96,9.03,8.953155,89194600
2019-08-15,8.54,8.63,7.65,8.01,7.941835,401048700
2019-08-16,8.41,8.8,8.37,8.79,8.715197,248883600
2019-08-19,8.88,8.89,8.61,8.67,8.596218,111637600
2019-08-20,8.58,8.6,8.33,8.38,8.308687,102302300
2019-08-21,8.36,8.48,8.14,8.16,8.090559,85258500
2019-08-22,8.18,8.31,8.11,8.19,8.120303,68146600
2019-08-23,8.09,8.1,7.76,7.97,7.902175,128598300
2019-08-26,8.06,8.1,7.92,8.05,7.981494,57987200
2019-08-27,8.09,8.11,7.91,7.93,7.862516,66069600
2019-08-28,7.92,7.99,7.76,7.94,7.872431,57698300
2019-08-29,8.04,8.2,8.0,8.11,8.040984,58741000
2019-08-30,8.14,8.26,8.11,8.25,8.179793,47323600
2019-09-03,8.1,8.39,8.08,8.33,8.259111,67648900
2019-09-04,8.41,8.87,8.4,8.8,8.725114,93653700
2019-09-05,8.99,9.23,8.8,8.81,8.735028,86891100
2019-09-06,8.82,8.82,8.57,8.71,8.635879,42846200
2019-09-09,8.75,9.05,8.73,8.96,8.883751,49960500
2019-09-10,8.91,9.27,8.9,9.14,9.06222,62617200
2019-09-11,9.15,9.36,9.06,9.36,9.280347,57094900
2019-09-12,9.4,9.52,9.22,9.26,9.181198,68115100
2019-09-13,9.31,9.45,9.14,9.34,9.270529,45589400
2019-09-16,9.3,9.42,9.17,9.38,9.310231,45748400
2019-09-17,9.3,9.39,9.25,9.36,9.29038,37954000
2019-09-18,9.31,9.39,9.18,9.38,9.310231,40270700
2019-09-19,9.35,9.5,9.34,9.42,9.349934,33935300
2019-09-20,9.46,9.54,9.34,9.37,9.300304,57530400
2019-09-23,9.22,9.39,9.2,9.34,9.270529,33511100
2019-09-24,9.31,9.35,8.96,8.97,8.903281,53343000
2019-09-25,8.96,9.2,8.94,9.16,9.091867,43859400
2019-09-26,9.18,9.21,8.96,9.02,8.952909,37229800
2019-09-27,9.04,9.17,8.99,9.04,8.97276,30511000
2019-09-30,9.08,9.1,8.94,8.94,8.873503,35091400
2019-10-01,8.96,9.04,8.51,8.61,8.545958,68778600
2019-10-02,8.56,8.62,8.41,8.51,8.446702,47520800
2019-10-03,8.5,8.71,8.25,8.71,8.645215,58626600
2019-10-04,8.61,8.7,8.54,8.57,8.506256,52272800
2019-10-07,8.55,8.65,8.48,8.56,8.49633,32170400
2019-10-08,8.48,8.5,8.27,8.28,8.218412,45502400
2019-10-09,8.31,8.37,8.24,8.35,8.287892,32840800
2019-10-10,8.34,8.52,8.31,8.45,8.387149,30546100
2019-10-11,8.59,8.92,8.58,8.8,8.734547,55835000
2019-10-14,8.84,8.85,8.64,8.72,8.65514,34052700
2019-10-15,8.74,8.92,8.61,8.89,8.823875,38834300
2019-10-16,8.86,9.07,8.84,8.9,8.833801,57841500
2019-10-17,8.92,9.09,8.88,9.04,8.97276,32661000
2019-10-18,9.01,9.1,8.95,8.96,8.893355,39012900
2019-10-21,8.99,9.12,8.76,8.79,8.724619,60584800
2019-10-22,8.77,9.06,8.61,9.06,8.992611,57115100
2019-10-23,8.98,9.15,8.93,9.14,9.072017,47584900
2019-10-24,9.12,9.15,8.88,8.95,8.88343,34131700
2019-10-25,8.92,9.09,8.92,9.0,8.933058,42159700
2019-10-28,9.02,9.12,8.99,9.07,9.002536,31754900
2019-10-29,9.01,9.14,8.93,9.07,9.002536,45759000
2019-10-30,9.78,10.37,9.71,10.11,10.034801,215943400
2019-10-31,10.05,10.21,9.86,9.98,9.905768,86633900
2019-11-01,10.08,10.39,10.06,10.38,10.302793,82053300
2019-11-04,10.42,10.95,10.42,10.93,10.848702,97780000
2019-11-05,10.92,10.97,10.72,10.97,10.888404,71381700
2019-11-06,10.93,11.1,10.79,11.02,10.938033,78002300
2019-11-07,11.1,11.32,11.09,11.29,11.206024,71082300
2019-11-08,11.23,11.55,11.14,11.52,11.434314,62480600
2019-11-11,11.4,11.5,11.24,11.35,11.265578,45575600
2019-11-12,11.32,11.58,11.29,11.42,11.335057,48942900
2019-11-13,11.29,11.36,11.18,11.29,11.206024,53981300
2019-11-14,11.18,11.35,11.18,11.29,11.206024,30790600
2019-11-15,11.34,11.55,11.33,11.52,11.434314,38236200
2019-11-18,11.41,11.5,11.33,11.44,11.354907,50972400
2019-11-19,11.43,11.55,11.26,11.5,11.414462,46832800
2019-11-20,11.44,11.49,11.26,11.39,11.305281,46690100
2019-11-21,11.33,11.62,11.31,11.53,11.444239,41688800
2019-11-22,11.49,11.72,11.49,11.55,11.464089,38481800
2019-11-25,11.66,11.84,11.57,11.58,11.493866,56710200
2019-11-26,11.62,11.67,11.31,11.35,11.265578,64193900
2019-11-27,11.39,11.47,11.26,11.29,11.206024,45498700
2019-11-29,11.28,11.36,11.22,11.27,11.186173,22739300
2019-12-02,11.31,11.52,11.14,11.16,11.076992,68711100
2019-12-03,11.0,11.11,10.81,10.99,10.908255,64048700
2019-12-04,11.17,11.18,10.87,10.9,10.818926,43748500
2019-12-05,10.89,10.96,10.76,10.79,10.709743,47273400
2019-12-06,10.9,11.11,10.85,11.1,11.017437,50596900
2019-12-09,10.98,11.13,10.97,10.99,10.908255,26695700
2019-12-10,10.99,11.03,10.92,11.01,10.928106,24780900
